ean;supplier;brand;catalog_code;collection;season;article_number;article_number_2;article_number_3;size_name;currency;price_buy_gross;price_buy_net;discount_rate;price_sell;material;target_area;size;article_structure;color
8719245231804;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Mojito Indaco Nero;Mojito;41;EUR;;62.5;;149.95;Mojito;Woman Shoes;;;
8719245192327;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;39;EUR;;71.0;;169.95;Caipirinha;Woman Shoes;;Boot;Nero
8719245192303;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;37;EUR;;71.0;;169.95;Caipirinha;Woman Shoes;;Boot;Nero
8719245192334;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;40;EUR;;71.0;;169.95;Caipirinha;Woman Shoes;;Boot;Nero
8719245192341;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;41;EUR;;71.0;;169.95;Caipirinha;Woman Shoes;;Boot;Nero
8719245192358;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;42;EUR;;71.0;;169.95;Caipirinha;Woman Shoes;;Boot;Nero
8719245192310;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;38;EUR;;71.0;;169.95;Caipirinha;Woman Shoes;;Boot;Nero
8719245192297;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;36;EUR;;71.0;;169.95;Caipirinha;Woman Shoes;European size 36;Boot;Nero
8719245210182;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Fucile;Joker;36;EUR;;71.0;;169.95;Joker;Woman Shoes;European size 36;Boot;
8719245210212;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Fucile;Joker;39;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210243;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Fucile;Joker;42;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210199;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Fucile;Joker;37;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210236;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Fucile;Joker;41;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210205;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Fucile;Joker;38;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210229;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Fucile;Joker;40;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210311;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Marrone;Joker;41;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210267;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Marrone;Joker;36;EUR;;71.0;;169.95;Joker;Woman Shoes;European size 36;Boot;
8719245210274;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Marrone;Joker;37;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210281;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Marrone;Joker;38;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210328;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Marrone;Joker;42;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210298;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Marrone;Joker;39;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
8719245210304;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;4701013-00;4701013-00 Joker Marrone;Joker;40;EUR;;71.0;;169.95;Joker;Woman Shoes;;Boot;
